slot,player_index,player,current_year_stat_id,CURRENTTEAM,ISUSED,JERSEYNUMBER,OVERALL,PREVIOUSTEAM,GAMESPLAYED,GAMESSTARTED,MINUTES,ASSISTS,BLOCKS,DOUBLEDOUBLES,FOULS,STEALS,BOX+-,TRIPLEDOUBLES,TURNOVERS,DEFENSEREBOUNDS,OFFENSIVEREBOUNDS,FIELDGOALSATTEMPTED,FIELDGOALSMADE,FREETHROWATTEMPTED,FREETHROWMADE,POINTS,3POINTERSATTEMPTED,3POINTERSMADE,CURRENTTEAM_raw,ISUSED_raw,JERSEYNUMBER_raw,OVERALL_raw,PREVIOUSTEAM_raw,GAMESPLAYED_raw,GAMESSTARTED_raw,MINUTES_raw,ASSISTS_raw,BLOCKS_raw,DOUBLEDOUBLES_raw,FOULS_raw,STEALS_raw,BOX+-_raw,TRIPLEDOUBLES_raw,TURNOVERS_raw,DEFENSEREBOUNDS_raw,OFFENSIVEREBOUNDS_raw,FIELDGOALSATTEMPTED_raw,FIELDGOALSMADE_raw,FREETHROWATTEMPTED_raw,FREETHROWMADE_raw,POINTS_raw,3POINTERSATTEMPTED_raw,3POINTERSMADE_raw
1,61,Jerry Rizzo,5990,Philadelphia 76ers,65535,42,69,0,26,22,732,75,0,4,54,27,32618,0,50,95,57,256,126,55,40,292,0,0,7956469712,65535,42,69,0,26,22,732,75,0,4,54,27,32618,0,50,95,57,256,126,55,40,292,0,0
2,59,Johnny Gee,5994,Philadelphia 76ers,65535,5,68,0,30,26,968,19,43,4,45,8,32563,0,28,238,72,266,114,117,74,302,0,0,7956469712,65535,5,68,0,30,26,968,19,43,4,45,8,32563,0,28,238,72,266,114,117,74,302,0,0
3,78,George Nelmark,5991,Philadelphia 76ers,65535,30,68,0,33,29,915,110,1,0,65,36,32528,0,76,28,8,278,107,63,39,253,0,0,7956469712,65535,30,68,0,33,29,915,110,1,0,65,36,32528,0,76,28,8,278,107,63,39,253,0,0
4,414,John Chaney,5993,Philadelphia 76ers,65535,17,67,0,28,24,801,36,44,3,60,19,32599,0,43,183,34,311,102,91,66,270,0,0,7956469712,65535,17,67,0,28,24,801,36,44,3,60,19,32599,0,43,183,34,311,102,91,66,270,0,0
5,392,Chick Meehan,5995,Philadelphia 76ers,65535,23,65,0,34,0,738,15,2,0,62,13,32557,0,26,116,17,216,67,63,34,168,0,0,7956469712,65535,23,65,0,34,0,738,15,2,0,62,13,32557,0,26,116,17,216,67,63,34,168,0,0
6,119,Charlie Butler,5996,Philadelphia 76ers,65535,7,64,0,33,6,733,30,4,0,45,8,32529,0,35,106,7,254,94,108,70,258,0,0,7956469712,65535,7,64,0,33,6,733,30,4,0,45,8,32529,0,35,106,7,254,94,108,70,258,0,0
7,147,Les Rothman,5992,Philadelphia 76ers,65535,39,64,0,32,26,890,31,28,3,65,9,32588,0,32,119,65,339,134,73,59,327,0,0,7956469712,65535,39,64,0,32,26,890,31,28,3,65,9,32588,0,32,119,65,339,134,73,59,327,0,0
8,148,Jack Dugger,5997,Philadelphia 76ers,65535,25,62,0,34,5,663,24,7,1,56,12,32609,0,35,175,34,235,62,55,32,156,0,0,7956469712,65535,25,62,0,34,5,663,24,7,1,56,12,32609,0,35,175,34,235,62,55,32,156,0,0
9,149,Bob Nugent,5998,Philadelphia 76ers,65535,20,62,0,33,6,627,22,13,0,35,12,32586,0,43,58,1,244,85,96,48,218,0,0,7956469712,65535,20,62,0,33,6,627,22,13,0,35,12,32586,0,43,58,1,244,85,96,48,218,0,0
10,151,Bill McCahan,5999,Philadelphia 76ers,65535,12,60,0,33,1,456,27,4,0,37,15,32614,0,27,0,0,146,36,51,32,104,0,0,7956469712,65535,12,60,0,33,1,456,27,4,0,37,15,32614,0,27,0,0,146,36,51,32,104,0,0
11,152,A Z,5374,Philadelphia 76ers,65535,19,40,0,6,0,46,0,0,0,3,0,32752,0,4,0,0,5,2,0,0,4,0,0,7956469712,65535,19,40,0,6,0,46,0,0,0,3,0,32752,0,4,0,0,5,2,0,0,4,0,0
12,153,A Z,6457,Philadelphia 76ers,65535,11,40,0,8,0,59,0,1,0,3,0,32712,0,2,0,0,4,0,2,1,1,0,0,7956469712,65535,11,40,0,8,0,59,0,1,0,3,0,32712,0,2,0,0,4,0,2,1,1,0,0
13,154,A Z,1489,Philadelphia 76ers,65535,43,40,0,1,0,1,0,0,0,0,0,32766,0,0,0,0,0,0,0,0,0,0,0,7956469712,65535,43,40,0,1,0,1,0,0,0,0,0,32766,0,0,0,0,0,0,0,0,0,0,0
14,1338,A Z,796,Philadelphia 76ers,65535,50,40,0,3,0,26,2,1,0,1,0,32746,0,1,0,0,3,1,0,0,2,0,0,7956469712,65535,50,40,0,3,0,26,2,1,0,1,0,32746,0,1,0,0,3,1,0,0,2,0,0
15,518,A Z,1488,Philadelphia 76ers,65535,26,40,0,4,0,29,1,1,0,2,0,32753,0,0,0,0,0,0,0,0,0,0,0,7956469712,65535,26,40,0,4,0,29,1,1,0,2,0,32753,0,0,0,0,0,0,0,0,0,0,0
